date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01 00:00:00,-2.2125,-5.5625,1.1374999999999997,0.0,0.0,260.0,12.254166666666668,,1027.2125,
2014-01-02 00:00:00,-1.7958333333333334,-4.595833333333333,1.0041666666666664,0.0,0.0,30.0,20.779166666666665,,1019.29375,
2014-01-03 00:00:00,-9.070833333333333,-11.820833333333333,-6.320833333333333,12.3,0.0,360.0,28.070833333333336,,1013.0104166666666,
2014-01-04 00:00:00,-10.425,-15.425,-5.425000000000001,0.0,0.0,200.0,11.275,,1031.6625,
2014-01-05 00:00:00,-3.9291666666666663,-8.579166666666666,0.7208333333333341,3.8,0.0,0.0,3.658333333333333,,1025.08125,
2014-01-06 00:00:00,7.1375,0.4375,13.8375,6.199999999999999,0.0,170.0,19.08333333333333,,1003.2875,
2014-01-07 00:00:00,-10.641666666666667,-19.291666666666668,-1.9916666666666671,0.0,0.0,260.0,38.27916666666667,,1016.0791666666668,
2014-01-08 00:00:00,-10.875,-14.475000000000001,-7.2749999999999995,0.0,0.0,260.0,19.204166666666666,,1031.4875,
2014-01-09 00:00:00,-3.908333333333333,-7.558333333333334,-0.2583333333333333,0.0,0.0,250.0,10.229166666666666,,1035.4166666666667,
2014-01-10 00:00:00,-0.7999999999999999,-2.45,0.8500000000000002,2.6,0.0,0.0,4.2250000000000005,,1032.8708333333334,
2014-01-11 00:00:00,7.941666666666666,0.6916666666666664,15.191666666666666,13.2,0.0,30.0,11.616666666666667,,1013.15625,
2014-01-12 00:00:00,8.6625,4.812499999999999,12.5125,4.6,0.0,260.0,20.691666666666663,,1003.2458333333334,
2014-01-13 00:00:00,4.629166666666666,-0.9208333333333334,10.179166666666667,0.0,0.0,160.0,9.15,,1018.2333333333332,
2014-01-14 00:00:00,8.6875,7.8875,9.4875,8.8,0.0,160.0,8.120833333333334,,1009.6666666666666,
2014-01-15 00:00:00,4.445833333333334,0.5958333333333332,8.295833333333334,0.0,0.0,0.0,6.925,,1012.9625,
2014-01-16 00:00:00,4.65,3.8000000000000007,5.5,0.0,0.0,340.0,10.366666666666667,,1012.2333333333332,
2014-01-17 00:00:00,2.6125,-1.8375000000000004,7.0625,0.0,0.0,0.0,8.066666666666666,,1014.0875,
2014-01-18 00:00:00,3.1041666666666665,0.9041666666666663,5.304166666666667,2.1,0.0,0.0,12.316666666666668,,1008.8791666666666,
2014-01-19 00:00:00,-1.6708333333333334,-5.270833333333334,1.9291666666666667,0.0,0.0,250.0,21.066666666666663,,1008.9833333333332,
2014-01-20 00:00:00,3.583333333333333,-0.2666666666666675,7.433333333333334,0.0,0.0,230.0,20.004166666666663,,1004.3416666666668,
2014-01-21 00:00:00,-3.6375,-11.4375,4.1625,6.4,0.0,10.0,24.67083333333333,,1013.1291666666666,
2014-01-22 00:00:00,-11.441666666666668,-14.491666666666667,-8.39166666666667,3.9,0.0,360.0,29.60833333333333,,1010.9583333333334,
2014-01-23 00:00:00,-11.0625,-14.9125,-7.2125,0.0,0.0,270.0,18.05,,1018.9375,
2014-01-24 00:00:00,-9.995833333333334,-13.045833333333334,-6.945833333333333,0.0,0.0,280.0,16.7625,,1026.6333333333334,
2014-01-25 00:00:00,-6.425000000000001,-9.775,-3.0750000000000006,0.6,0.0,200.0,22.89583333333333,,1010.7291666666666,
2014-01-26 00:00:00,-6.533333333333334,-8.783333333333335,-4.283333333333334,0.3,0.0,280.0,22.554166666666664,,1006.2583333333332,
2014-01-27 00:00:00,-1.1958333333333335,-7.295833333333333,4.904166666666666,0.0,0.0,0.0,12.816666666666668,,1007.1291666666666,
2014-01-28 00:00:00,-7.808333333333334,-11.958333333333334,-3.658333333333333,0.0,0.0,310.0,19.2875,,1023.65,
2014-01-29 00:00:00,-8.341666666666667,-10.841666666666667,-5.841666666666667,1.4,0.0,250.0,16.716666666666665,,1022.6708333333332,
2014-01-30 00:00:00,-7.195833333333333,-11.645833333333332,-2.7458333333333336,0.0,0.0,220.0,11.525,,1028.3,
2014-01-31 00:00:00,-2.2291666666666665,-7.229166666666666,2.7708333333333335,0.0,0.0,220.0,13.170833333333334,,1021.7291666666666,
2014-02-01 00:00:00,2.458333333333333,-0.5916666666666668,5.508333333333333,0.0,0.0,0.0,6.125,,1024.5083333333334,
2014-02-02 00:00:00,3.9416666666666655,-2.708333333333335,10.591666666666665,0.0,0.0,0.0,5.416666666666667,,1015.4395833333332,
2014-02-03 00:00:00,2.3041666666666667,-2.9458333333333333,7.554166666666667,23.2,0.0,10.0,18.8375,,1019.6291666666666,
2014-02-04 00:00:00,-2.516666666666667,-6.416666666666667,1.3833333333333329,0.0,0.0,20.0,9.391666666666667,,1028.5916666666667,
2014-02-05 00:00:00,0.0208333333333333,-1.3791666666666667,1.4208333333333332,32.7,0.0,20.0,13.125,,1016.09375,
2014-02-06 00:00:00,-2.2041666666666666,-5.804166666666666,1.395833333333333,0.0,0.0,320.0,15.466666666666669,,1020.1166666666668,
2014-02-07 00:00:00,-3.0583333333333336,-5.858333333333333,-0.25833333333333375,0.0,0.0,230.0,15.45,,1025.1833333333334,
2014-02-08 00:00:00,-3.891666666666667,-6.6416666666666675,-1.141666666666667,0.0,0.0,230.0,11.175,,1025.8458333333333,
2014-02-09 00:00:00,-4.325,-7.375,-1.2750000000000004,0.0,0.0,0.0,8.425,,1020.8625,
2014-02-10 00:00:00,-4.3125,-6.8125,-1.8125,2.3,0.0,290.0,15.625,,1019.0645833333332,
